ID провайдера;Название провайдера;Логотип;Об учебном заведении;Программы обучения;Адрес;Пояснение к адресу;Телефон 1;Пояснение 1;Телефон 2;Пояснение 2;Телефон 3;Пояснение 3;Телефон 4;Пояснение 4;Телефон 5;Пояснение 5;Телефон 6;Пояснение 6;Телефон 7;Пояснение 7;Телефон 8;Пояснение 8;Телефон 9;Пояснение 9;Телефон 10;Пояснение 10;Телефон 11;Пояснение 11;Телефон 12;Пояснение 12;Телефон 13;Пояснение 13;Телефон 14;Пояснение 14;Телефон 15;Пояснение 15
13495;Институт дополнительного образования РГУ им. А.Н. Косыгина (Технологии. Дизайн. Искусство);https://www.ucheba.ru/pix/branding/5873/logo.upto100x100.png;<p>Институт дополнительного образования РГУ им. А.Н. Косыгина создан в 2002 году и является структурным подразделением университета. Институт предлагает самые разнообразные учебные программы дополнительного образования в сфере моды, а также в легкой и текстильной промышленности.Одной из особенностей обучения в ИДО является постоянное обновление и дополнение программ новейшей информацией, а также их корректировка в соответствии с пожеланиями как направляющих предприятий, так и самих слушателей</p>;734974|734973|734981|734972|734987|734983|734986|734985|734984|734990;Москва, ул. Садовническая, д. 33, стр. 1;;7 495 951-30-61;;7 495 953-65-78;;;;;;;;;;;;;;;;;;;;;;;;;;;
106176;Учебно-методический портал «УчМет»;https://www.ucheba.ru/pix/logo_cache/106176.upto100x100.png;<p>Является одним из крупнейших российских образовательных ресурсов.  На портале сформирована крупная площадка дополнительного образования, где на основании лицензии, в форме дистанционного обучения проводятся образовательные вебинары, конференции, курсы повышения квалификации, осуществляется профессиональное обучение с присвоением квалификации и профессиональная переподготовка для всех категорий слушателей.</p>;742845|743873|742171|741547|741623|742686|740869|744091|744070|744581|741081|743011|744121|744098|743963|740654|741005|740771|741048|740800|740828|740836|740658|741614|740641|744151|740621|744100|744002|743101;Южный федеральный округ, Волгоградская область, Волгоград, ул. Кирова, д.143;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25510;Центр онлайн-образования «Нетология»;https://www.ucheba.ru/pix/branding/25510/logo.upto100x100.png;<p>Университет по подготовке и дополнительному обучению специалистов в области интернет-маркетинга, управления проектами, дизайна, проектирования интерфейсов и веб-разработки. В рамках нашей онлайн-платформы студенты получают ценные практические знания от лучших экспертов Рунета, выполняют практические задания на отработку полученных навыков, общаются с экспертами и единомышленниками.</p>;744485|745778|744703|744472|746126|744546|744486|744548|744492|745458|744547|746124|746546|744605|745547|744549|744640|746127|744538|744568|744535|744584|745902|744468|745037|744480|745330|744569|744550|744570;Москва, Москва;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
105652;Онлайн-университет Skillbox;https://www.ucheba.ru/pix/logo_cache/105652.upto100x100.png;<p>Онлайн-университет современных digital-профессий. Максимально практическое обучение от лидеров digital-рынка. Курсы от компаний, оттачивающих мастерство на реальных проектах. После обучения студенты смогут пройти гарантированную стажировку в этих компаниях или у партнеров онлайн-университета.</p>;737998|736619|738004|737977|736621|736501|738002|736553|736545|737677|737968|736557|736623|737875|737935|736567|737997|736616|736520|737730|737823|737856|736552|737820|736544|736515|737999|736493|737934|736519;Москва, ул. Бауманская, д. 11, стр. 8;офис 4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
105947;Contented;https://www.ucheba.ru/pix/logo_cache/105947.upto100x100.png;"<p>● Образовательная платформа
● Курсы с лучшими практиками отрасли
● Сильная методология преподавания</p>";739864|739706|739677|739704|739707|739679|739705|741125;Москва, Москва;;7 495 118-44-60;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1510;Учебный центр МГУТУ;https://www.ucheba.ru/pix/logo_cache/1510.upto100x100.png;<p>Учебный центр МГУТУ - Институт информационных технологий и повышения квалификации кадров Московского государственного университета технологий и управления им. К. Г. Разумовского представляет собой одно из ведущих учебных заведений в сфере дополнительного образования и повышения квалификации специалистов.</p>;650135|650134|650133|617219|650125|650128|650130|650129|691048|717259|691051|717157|650126|650127|734571|734560|734569|734559|734570|734563|739048|740539|739046|745313|734562|739043|745441|739053|739051;Москва, Б. Дровяной пер., д. 17/2;1-й этаж;7 495 660-36-72;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17705;Образовательный портал GeekBrains;https://www.ucheba.ru/pix/logo_cache/17705.upto100x100.png;<p>GeekBrains - образовательный портал от Mail. ru Group, который помогает начать карьеру в IT и Digital и получить новые знания для развития. Преподаватели-практики готовят специалистов по 4 направлениям: программированию, управлению, маркетингу и дизайну. После обучения гарантируется стажировка и помощь с трудоустройством.</p>;730651|730666|730540|710519|730739|730525|730828|730532|738729|730531|730535|738732|730537|730771|738731|738679|738790|730533|738678|738792|730740|738749|738750|738735|738733|738688|738769|730741|738768|738770;Москва, Ленинградский пр-т, д. 39, стр. 79;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
105202;Служба дополнительного образования Российского университета дружбы народов;https://www.ucheba.ru/pix/branding/105202/logo.upto100x100.png;"<p>Служба дополнительного образования РУДН обладает одной из самых крупных образовательных баз среди университетов Москвы и насчитывает более 30 центров ДПО. Основные направления деятельности подготовка специалистов на курсах повышения квалификации и профессиональной переподготовки, проведение общеобразовательных программ, лекций, семинаров, организация обучения школьников, студентов и специалистов в формате ""летних школ"". В университете есть программы дистанционного обучения, которые ведут признанные в России и за рубежом преподаватели и специалисты-практики крупных компаний.</p>";732710|736821|733803|733800|736571|732711|733353|733252|737174|732848|732631|733804|733355|733435|746162|736783|736731|739851|737393|733129|733313|733312|736809|732591|732985|733034|733035|733033|733046|732960;Москва, ул. Миклухо-Маклая, д. 6;сектор ректората, 5-й этаж;7 499 936-85-94;;7 495 374-74-62;медицинские программы;;;;;;;;;;;;;;;;;;;;;;;;;;
105023;Высшая школа психологии;https://www.ucheba.ru/pix/branding/105023/logo.upto100x100.png;<p>В школе представлены программы профессиональной переподготовки и повышения квалификации в области психологии, психотерапии, психологического консультирования для психологов и всех желающих. Школа предлагает современный подход к обучению, в образовательном процессе интегрированы фундаментальная наука и практика.</p>;718421|715861|715356|739794|715820|740030|745626|740319|718425|720107|715349|715347|716762|715964|715359|715352|727292|715350|715946|745516|727280|745513;Москва, ул. Ярославская, д. 13;;7 977 857-03-85;;7 903 769-32-05;;;;;;;;;;;;;;;;;;;;;;;;;;;
106205;Столичная бизнес академия;https://www.ucheba.ru/pix/logo_cache/106205.upto100x100.png;<p>Столичная бизнес академия сочетает в себе классические, проверенные годами образовательные практики и продвинутые технологии дистанционного обучения. Академия предлагает слушателям широкий спектр программ MBA и директорских курсов. Программы составлены таким образом, чтобы каждый слушатель смог найти подходящую траекторию обучения или образовательный продукт, исходя из уровня профессиональной подготовки или спектра решаемых бизнес-задач.</p>;746730;Москва, Дербеневская наб., д. 11;Главное здание, БЦ Полларс, офис 603В;7 495 149-00-20;Приемная комиссия;7 800 550-70-19;Приемная комиссия (звонок бесплатный);;;;;;;;;;;;;;;;;;;;;;;;;;
