ID программы;Форма обучения;Проходной балл бюджет;Проходной балл платное;Мест бюджет;Мест платное;Стоимость;Стоимость, за год;Когда;Срок обучения;График занятий
740111;Дистанционная;;;;;20 000 р.;;8 сен, 8 сен, 22 сен, 6 окт, 20 окт, 3 ноя, 17 ноя, 1 дек, 15 дек, 12 янв 2021, 26 янв 2021;5 месяцев;10 встреч, один раз в две недели. Вторник: 19.00 - 20.30 онлайн
744408;Вебинар;;;;;2 500 р.;;в любое время;10 ак. ч;-
740055;Дистанционная;;;;;8 500 р., 10 000 р.;;в любое время;5 недель, 256 ак. ч;свободный
740055;Дистанционная;;;;;12 800 р., 15 000 р.;;в любое время;10 лет, 512 ак. ч;свободный
719455;Дистанционная;;;;;38 900 р.;;в любое время;40 ак. ч;-
719455;Онлайн-трансляция;;;;;55 500 р.;;14 сен, 14 сен, 9 ноя;;5 дней онлайн-трансляции c 09.00 до 16.15 (по московскому времени)
719455;Очная;;;;;55 500 р.;;14 сен, 14 сен, 9 ноя;5 дней;5 дней очного обучения c 09.00 до 16.15
737207;Дистанционная;;;;;24 300 р.;;в любое время;30 ак. ч;30 уроков по 50 минут
737250;Дистанционная;;;;;2 700 р.;;в любое время;1 неделя;-
743873;Дистанционная;;;;;300 р.;;по мере набора;1 день;-
739269;Дистанционная;;;;;6 500 р.;;в любое время;6 недель, 108 ак. ч;6 часов в день, 3 раза в неделю
744314;Материалы для самостоятельного изучения;;;;;7 800 р.;;1 сен, 3 сен;18 ак. ч;-
744485;Online;;;;;бесплатно;;-;1 день;-
736653;Дистанционная;;;;;39 900 р.;;2 сен;10 недель;-
738665;Русскоязычные преподаватели;;;;;580 р.;;в любое время;1 ак. ч;-
738665;Носители английского языка;;;;;1 700 р.;;в любое время;1 ак. ч;-
711575;Заочная;;;;;138 000 р.;;20 авг, 20 авг, 4 сен, 21 сен, 5 окт, 20 окт, 5 ноя, 20 ноя, 4 дек, 21 дек;18 месяцев, 1536 ак. ч;от 20 до 40 часов в неделю
705858;Дистанционная;;;;;31 990 р.;;24 авг;4 дня, 48 ак. ч;-
705858;Очная;;;;;31 990 р.;;24 авг;4 дня, 48 ак. ч;-
745345;Очная;;;;;24 750 р.;;по мере набора;5 дней, 40 ак. ч;-
745345;Дистанционная;;;;;24 750 р.;;по мере набора;5 дней, 40 ак. ч;-
739894;Дистанционная;;;;;15 900 р.;;в любое время;20 ак. ч;-
735866;Группа выходного дня;;;;;80 000 р.;;19 сен, 19 сен, 24 окт, 28 ноя, 16 янв 2021, 27 фев 2021, 27 мар 2021, 24 апр 2021, 29 май 2021, 26 июн 2021;8 месяцев, 160 ак. ч;суббота, воскресенье с 10.00 до 18.00
650387;Вечерняя;;;;;49 500 р.;;15 сен;3 месяца, 104 ак. ч;"1-2 раза в будние дни с 18:30 до 21:30; в субботу с 10:00 до 17:00"
734981;Очная;;;;;67 200 р.;;28 сен;8 месяцев, 252 ак. ч;по субботам с 14:00 до 17:00
737684;Дистанционная;;;;;27 900 р.;;в любое время;24 ак. ч;-
737684;Онлайн-трансляция;;;;;39 900 р.;;18 сен, 18 сен, 18 дек;3 дня, 24 ак. ч;3 дня онлайн-трансляции c 09.00 до 16.15
737684;Очная;;;;;39 900 р.;;18 сен, 18 сен, 18 дек;3 дня, 24 ак. ч;3 дня очного обучения c 09.00 до 16.15
744410;Дистанционная;;;;;1 200 р.;;в любое время;2 ак. ч;-
740062;Дистанционная;;;;;8 500 р., 10 000 р.;;в любое время;5 недель, 256 ак. ч;свободный
740062;Дистанционная;;;;;12 800 р., 15 000 р.;;в любое время;10 недель, 512 ак. ч;свободный
737263;Дистанционная;;;;;1 500 р.;;в любое время;2 ак. ч;-
744320;Онлайн курс на образовательной платформе МГУПП;;;;;5 500 р.;;3 сен, 25 окт;252 ак. ч;-
610706/1;Очно-заочная;-;;-;;;145 000 р.;1 сен;54 месяца;
737203;Дистанционная;;;;;730 р.;;в любое время;1 ак. ч;-
742171;Дистанционная;;;;;1 840 р.;;по мере набора;24 дня, 36 ак. ч;-
736384;Дистанционная;;;;;по договоренности;;в любое время;1 день;-
745778;Online;;;;;бесплатно;;-;1 день;-
736154;Дистанционная;;;;;90 000 р.;;3 сен;12 месяцев;-
737998;Дистанционная;;;;;201 500 р.;;22 авг, 22 авг, 30 авг;24 месяца;-
738661;Русскоязычные преподаватели;;;;;580 р.;;в любое время;1 ак. ч;-
738661;Носители английского языка;;;;;1 400 р.;;в любое время;1 ак. ч;-
711556;Заочная;;;;;138 000 р.;;20 авг, 20 авг, 4 сен, 21 сен, 5 окт, 20 окт, 5 ноя, 20 ноя, 4 дек, 21 дек;18 месяцев, 1536 ак. ч;от 20 до 40 часов в неделю
705856;Дистанционная;;;;;16 990 р.;;24 авг;2 дня, 29 ак. ч;-
705856;Очная;;;;;16 990 р.;;24 авг;2 дня, 29 ак. ч;-
745337;Очная;;;;;10 500 р.;;по мере набора;2 дня, 16 ак. ч;-
745337;Дистанционная;;;;;10 500 р.;;по мере набора;2 дня, 16 ак. ч;-
744309;Дистанционная;;;;;7 800 р.;;4 сен, 8 сен;18 ак. ч;-
734972;Очная;;;;;101 760 р.;;28 сен;1 год, 252 ак. ч;2 раза в неделю с 18:30 до 20:45
734972;Группа выходного дня;;;;;101 760 р.;;-;1 год, 252 ак. ч;по субботам с 10:30 до 15:00
686170;Группа выходного дня;;;;;11 700 р.;;25 сен, 25 сен, 2 окт, 4 дек, 18 дек, 19 фев 2021, 5 мар 2021, 16 апр 2021, 21 май 2021, 4 июн 2021, 23 июл 2021;3 дня, 30 ак. ч;"пятница с 18:00 до 22:00; суббота, воскресенье с 09:00 до 19:00"
650377;Вечерняя;;;;;43 500 р.;;15 сен;2 месяца, 80 ак. ч;2-3 раза в неделю с 18:30 до 21:30
737258;Дистанционная;;;;;1 500 р.;;в любое время;2 ак. ч;-
737599;Дистанционная;;;;;99 900 р.;;в любое время;250 ак. ч;-
737599;Онлайн-трансляция;;;;;149 900 р.;;18 сен, 18 сен, 18 дек;250 ак. ч;18 дней очного обучения c 09.00 до 16.15
737599;Очная;;;;;149 900 р.;;18 сен, 18 сен, 18 дек;;Программа проводится 6 (шестью) модулями по 3 (три) дня с перерывами между модулями.
701169;Дистанционная;;;;;8 500 р., 10 000 р.;;в любое время;5 недель, 256 ак. ч;Свободный
701169;Дистанционная;;;;;12 800 р., 15 000 р.;;в любое время;10 недель, 512 ак. ч;Свободный
739864;Дистанционная;;;;;120 000 р.;;-;9 месяцев;-
178986/1;Очно-заочная;-;;-;;;145 000 р.;1 сен;54 месяца;
737214;Дистанционная;;;;;730 р.;;в любое время;1 ак. ч;-
739895;Дистанционная;;;;;14 900 р.;;в любое время;1 месяц;-
741547;Дистанционная;;;;;6 375 р.;;по мере набора;168 дней, 252 ак. ч;-
738705;Русскоязычные преподаватели;;;;;580 р.;;в любое время;1 ак. ч;-
738705;Носители английского языка;;;;;1 700 р.;;в любое время;1 ак. ч;-
736155;Дистанционная;;;;;48 900 р.;;3 сен;6 месяцев;-
736619;Дистанционная;;;;;14 000 р.;;23 авг, 23 авг, 30 авг;2 месяца;-
744703;Online;;;;;бесплатно;;-;1 день;-
745875;Очная;;;;;5 800 р.;;7 сен, 30 сен;72 ак. ч;-
745875;Дистанционная;;;;;5 800 р.;;-;72 ак. ч;-
711557;Заочная;;;;;138 000 р.;;20 авг, 20 авг, 4 сен, 21 сен, 5 окт, 20 окт, 5 ноя, 20 ноя, 4 дек, 21 дек;18 месяцев, 1536 ак. ч;от 20 до 40 часов в неделю
668702;Дистанционная;;;;;26 990 р.;;24 авг;4 дня, 52 ак. ч;-
668702;Очная;;;;;26 990 р.;;24 авг;4 дня, 52 ак. ч;-
737252;Дистанционная;;;;;1 500 р.;;в любое время;1 неделя;-
650135;Очная;;;;;11 000 р., 22 000 р.;;20 авг, 20 авг, 5 сен, 7 сен;3 недели, 40 ак. ч;Будни/Выходные
650135;Он-лайн;;;;;19 800 р.;;20 авг, 20 авг, 5 сен, 7 сен;3 недели, 40 ак. ч;-
712848;Группа выходного дня;;;;;180 000 р.;;9 окт;9 месяцев, 245 ак. ч;5 трехдневных практических семинаров и еженедельная супервизорская онлайн группа
745022;Дистанционная;;;;;4 400 р.;;в любое время;2 дня, 16 ак. ч;-
734987;Очная;;;;;86 400 р.;;5 окт;5 месяцев, 252 ак. ч;2 раза в неделю с 18:30 до 21:00
740597;Дистанционная;;;;;3 400 р., 4 000 р.;;в любое время;9 дней, 72 ак. ч;свободный
739706;Дистанционная;;;;;23 000 р.;;25 авг;2 недели;-
737211;Дистанционная;;;;;730 р.;;в любое время;1 ак. ч;-
738699;Русскоязычные преподаватели;;;;;580 р.;;в любое время;1 ак. ч;-
738699;Носители английского языка;;;;;1 700 р.;;в любое время;1 ак. ч;-
718477;Дистанционная;;;;;38 900 р.;;в любое время;40 ак. ч;-
718477;Онлайн-трансляция;;;;;55 500 р.;;21 сен, 21 сен, 26 окт, 30 ноя;5 дней, 40 ак. ч;5 дней онлайн-трансляции c 09.00 до 16.15
718477;Очная;;;;;55 500 р.;;21 сен, 21 сен, 26 окт, 30 ноя;5 дней, 40 ак. ч;5 дней очного обучения c 09.00 до 16.15
706795/1;Очно-заочная;-;;-;;;120 000 р.;1 сен;54 месяца;
741623;Дистанционная;;;;;6 375 р.;;по мере набора;168 дней, 252 ак. ч;-
650399;Онлайн;;;;;43 500 р.;;16 сен;2 месяца, 80 ак. ч;Вебинары 2-3 раза в неделю. В будние дни с 18:30 до 21:30, по субботам с 10:00 до 17:00
